venue,ticker,pr_open,pr_high,pr_low,pr_close,volume,turnover,valid_time
MOEX,HKDRUB_TOM,7.8131,7.8131,7.8131,7.8131,1000,7813,2022-11-14 12:45:00+00:00
MOEX,HKDRUB_TOM,7.8197,7.8198,7.8132,7.8132,135000,1055597,2022-11-14 12:47:00+00:00
MOEX,HKDRUB_TOM,7.8132,7.8197,7.8132,7.8197,40000,312560,2022-11-14 12:48:00+00:00
MOEX,HKDRUB_TOM,7.8196,7.8196,7.8196,7.8196,10000,78196,2022-11-14 12:49:00+00:00
MOEX,HKDRUB_TOM,7.8195,7.8195,7.8132,7.8132,21000,164140,2022-11-14 12:50:00+00:00
MOEX,HKDRUB_TOM,7.8195,7.8195,7.8,7.8,442000,3450598,2022-11-14 12:53:00+00:00
MOEX,HKDRUB_TOM,7.8,7.8,7.7951,7.7999,17000,132550,2022-11-14 12:54:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,2000,15599,2022-11-14 12:55:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,79000,616192,2022-11-14 12:56:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,3000,23399,2022-11-14 12:57:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,1000,7799,2022-11-14 12:58:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7951,7.7999,12000,93550,2022-11-14 12:59:00+00:00
MOEX,HKDRUB_TOM,7.798,7.798,7.798,7.798,1000,7798,2022-11-14 13:02:00+00:00
MOEX,HKDRUB_TOM,7.798,7.7999,7.798,7.7999,4000,31193,2022-11-14 13:03:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,10000,77999,2022-11-14 13:04:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,7000,54599,2022-11-14 13:05:00+00:00
MOEX,HKDRUB_TOM,7.799,7.7999,7.799,7.7999,3000,23397,2022-11-14 13:06:00+00:00
MOEX,HKDRUB_TOM,7.799,7.799,7.799,7.799,1000,7799,2022-11-14 13:07:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,10000,77999,2022-11-14 13:08:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,8000,62399,2022-11-14 13:09:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,31000,241796,2022-11-14 13:10:00+00:00
MOEX,HKDRUB_TOM,7.8,7.8,7.8,7.8,14000,109200,2022-11-14 13:11:00+00:00
MOEX,HKDRUB_TOM,7.8,7.8,7.8,7.8,14000,109200,2022-11-14 13:12:00+00:00
MOEX,HKDRUB_TOM,7.8,7.8,7.8,7.8,1000,7800,2022-11-14 13:13:00+00:00
MOEX,HKDRUB_TOM,7.7954,7.7954,7.7954,7.7954,12000,93544,2022-11-14 13:14:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.7999,7.7999,2000,15599,2022-11-14 13:16:00+00:00
MOEX,HKDRUB_TOM,7.7999,7.7999,7.79,7.79,450000,3507239,2022-11-14 13:20:00+00:00
MOEX,HKDRUB_TOM,7.7879,7.7899,7.7879,7.7899,7000,54519,2022-11-14 13:21:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,1000,7789,2022-11-14 13:22:00+00:00
